Naziv_proteina
ALA49468.1 |membrane protein
ALA49469.1 |nucleocapsid protein
ALA49479.1 |membrane protein
ALA49480.1 |nucleocapsid protein
ALA49490.1 |membrane protein
ALA49491.1 |nucleocapsid protein
ALA49501.1 |membrane protein
ALA49502.1 |nucleocapsid protein
ALA49512.1 |membrane protein
ALA49513.1 |nucleocapsid protein
ALA49523.1 |membrane protein
ALA49524.1 |nucleocapsid protein
ALA49534.1 |membrane protein
ALA49535.1 |nucleocapsid protein
ALA49545.1 |membrane protein
ALA49546.1 |nucleocapsid protein
ALA49556.1 |membrane protein
ALA49557.1 |nucleocapsid protein
ALA49567.1 |membrane protein
ALA49568.1 |nucleocapsid protein
ALA49578.1 |membrane protein
ALA49579.1 |nucleocapsid protein
ALA49589.1 |membrane protein
ALA49590.1 |nucleocapsid protein
ALA49600.1 |membrane protein
ALA49601.1 |nucleocapsid protein
ALA49611.1 |membrane protein
ALA49612.1 |nucleocapsid protein
ALA49622.1 |membrane protein
ALA49623.1 |nucleocapsid protein
ALA49633.1 |membrane protein
ALA49634.1 |nucleocapsid protein
ALA49644.1 |membrane protein
ALA49645.1 |nucleocapsid protein
ALA49655.1 |membrane protein
ALA49656.1 |nucleocapsid protein
ALA49666.1 |membrane protein
ALA49667.1 |nucleocapsid protein
ALA49677.1 |membrane protein
ALA49678.1 |nucleocapsid protein
ALA49688.1 |membrane protein
ALA49689.1 |nucleocapsid protein
ALA49699.1 |membrane protein
ALA49700.1 |nucleocapsid protein
ALA49710.1 |membrane protein
ALA49711.1 |nucleocapsid protein
